Giornata	Squadra Casa	Squadra Ospite
1	milan	napoli
1	fiorentina	inter
1	atalanta	roma
1	lazio	juventus
1	sassuolo	empoli
1	torino	spezia
1	udinese	hellas_verona
1	bologna	sampdoria
1	salernitana	monza
1	lecce	cremonese
2	milan	lazio
2	torino	monza
2	udinese	napoli
2	bologna	roma
2	empoli	atalanta
2	salernitana	inter
2	spezia	sassuolo
2	hellas_verona	juventus
2	sampdoria	lecce
2	cremonese	fiorentina
3	inter	torino
3	juventus	empoli
3	roma	cremonese
3	fiorentina	monza
3	udinese	spezia
3	bologna	sassuolo
3	salernitana	milan
3	lecce	atalanta
3	hellas_verona	sampdoria
3	napoli	lazio
4	milan	inter
4	atalanta	salernitana
4	sassuolo	fiorentina
4	torino	roma
4	monza	juventus
4	lecce	bologna
4	spezia	empoli
4	sampdoria	lazio
4	cremonese	udinese
4	napoli	hellas_verona
5	milan	juventus
5	lazio	inter
5	udinese	fiorentina
5	bologna	atalanta
5	empoli	torino
5	salernitana	sassuolo
5	lecce	roma
5	hellas_verona	cremonese
5	sampdoria	monza
5	napoli	spezia
6	inter	sassuolo
6	juventus	napoli
6	roma	sampdoria
6	fiorentina	torino
6	udinese	bologna
6	monza	lazio
6	empoli	hellas_verona
6	salernitana	lecce
6	spezia	atalanta
6	cremonese	milan
7	milan	atalanta
7	juventus	sassuolo
7	lazio	cremonese
7	udinese	roma
7	bologna	torino
7	monza	salernitana
7	empoli	fiorentina
7	spezia	inter
7	hellas_verona	lecce
7	napoli	sampdoria
8	inter	empoli
8	atalanta	juventus
8	lazio	spezia
8	sassuolo	udinese
8	torino	salernitana
8	bologna	cremonese
8	lecce	milan
8	hellas_verona	roma
8	sampdoria	fiorentina
8	napoli	monza
9	inter	bologna
9	atalanta	napoli
9	roma	spezia
9	sassuolo	cremonese
9	torino	milan
9	udinese	monza
9	empoli	juventus
9	salernitana	lazio
9	lecce	sampdoria
9	hellas_verona	fiorentina
10	inter	salernitana
10	juventus	lecce
10	lazio	sampdoria
10	fiorentina	atalanta
10	sassuolo	roma
10	udinese	torino
10	bologna	napoli
10	monza	milan
10	spezia	hellas_verona
10	cremonese	empoli
11	milan	bologna
11	juventus	salernitana
11	torino	inter
11	udinese	lazio
