Giornata	Squadra Casa	Squadra Ospite
1	inter	hellas_verona
1	juventus	napoli
1	atalanta	roma
1	lazio	fiorentina
1	sassuolo	milan
1	udinese	monza
1	bologna	cremonese
1	empoli	torino
1	salernitana	spezia
1	sampdoria	lecce
--------------------------------------------------
2	milan	lazio
2	juventus	inter
2	atalanta	napoli
2	roma	fiorentina
2	sassuolo	empoli
2	bologna	spezia
2	salernitana	torino
2	lecce	hellas_verona
2	sampdoria	udinese
2	cremonese	monza
--------------------------------------------------
3	inter	sampdoria
3	juventus	atalanta
3	roma	napoli
3	lazio	sassuolo
3	fiorentina	monza
3	torino	milan
3	bologna	hellas_verona
3	salernitana	empoli
3	lecce	spezia
3	cremonese	udinese
--------------------------------------------------
4	milan	inter
4	juventus	roma
4	atalanta	lazio
4	fiorentina	torino
4	sassuolo	napoli
4	bologna	monza
4	empoli	spezia
4	lecce	udinese
4	hellas_verona	salernitana
4	sampdoria	cremonese
--------------------------------------------------
5	milan	juventus
5	atalanta	inter
5	roma	lazio
5	fiorentina	udinese
5	sassuolo	bologna
5	torino	napoli
5	monza	salernitana
5	lecce	empoli
5	spezia	sampdoria
5	hellas_verona	cremonese
--------------------------------------------------
6	inter	lecce
6	juventus	lazio
6	atalanta	fiorentina
6	roma	milan
6	sassuolo	cremonese
6	torino	hellas_verona
6	bologna	salernitana
6	spezia	monza
6	sampdoria	empoli
6	napoli	udinese
--------------------------------------------------
7	milan	atalanta
7	juventus	fiorentina
7	roma	inter
7	lazio	napoli
7	sassuolo	torino
7	monza	lecce
7	empoli	bologna
7	salernitana	udinese
7	spezia	cremonese
7	sampdoria	hellas_verona
--------------------------------------------------
8	inter	monza
8	juventus	sassuolo
8	atalanta	torino
8	roma	udinese
8	fiorentina	empoli
8	bologna	sampdoria
8	salernitana	milan
8	spezia	napoli
8	hellas_verona	lazio
8	cremonese	lecce
--------------------------------------------------
9	inter	cremonese
9	juventus	torino
9	atalanta	sassuolo
9	roma	bologna
9	fiorentina	napoli
9	udinese	empoli
9	monza	hellas_verona
9	lecce	lazio
9	spezia	milan
9	sampdoria	salernitana
--------------------------------------------------
10	inter	fiorentina
10	juventus	bologna
10	atalanta	monza
10	roma	sassuolo
10	lazio	torino
10	udinese	spezia
10	salernitana	cremonese
10	lecce	napoli
10	hellas_verona	empoli
10	sampdoria	milan
--------------------------------------------------
11	inter	bologna
11	juventus	udinese
11	atalanta	empoli
11	roma	torino
11	sassuolo	lecce
